day	time	size	price	sign
1	34200.199	23	514.14	1
1	34200.199	14	514.14	1
1	34200.594	231	514.18	1
1	34200.613	20	514.18	1
1	34200.723	13	513.665	-1
1	34200.723	6	514	-1
1	34202.133	100	514.13	1
1	34202.133	100	514.18	1
1	34202.133	94	514.18	1
1	34203.172	5	514.08	1
1	34203.285	100	514.18	1
1	34203.434	42	514.17	-1
1	34203.766	44	514.5	1
1	34203.988	100	514.18	1
1	34204.926	100	514.43	1
1	34207.297	33	514.21	-1
1	34209.121	33	514.21	-1
1	34209.121	67	514.21	-1
1	34209.801	44	514.38	1
1	34209.801	56	514.34	1
1	34209.855	18	514.5	1
1	34209.855	26	514.5	1
1	34209.855	56	514.38	1
1	34209.855	82	514.5	1
1	34211.891	10	514.23	-1
1	34219.098	100	514.68	1
1	34221.184	100	514.68	1
1	34221.184	100	514.68	1
1	34221.184	100	514.68	1
1	34221.184	100	514.68	1
1	34221.188	100	514.6	1
1	34240.008	100	514.73	1
1	34244.246	57	514.95	1
1	34254.508	25	514.97	1
1	34271.051	100	514.54	-1
1	34279.355	100	514.86	1
1	34290.688	25	514.51	-1
1	34290.688	100	514.5	-1
1	34290.688	100	514.5	-1
1	34290.688	100	514.5	-1
1	34290.688	100	514.5	-1
1	34290.688	23	514.5	-1
1	34290.688	23	514.5	-1
1	34290.688	50	514.5	-1
1	34290.688	100	514.46	-1
1	34290.688	100	514.46	-1
1	34292.809	100	514.18	-1
1	34292.809	300	514.18	-1
1	34292.809	100	514.18	-1
1	34293.805	100	514.39	1
1	34295.016	100	513.7	-1
1	34295.863	100	513.71	-1
1	34301.613	25	513.21	-1
1	34301.613	73	513.21	-1
1	34311.016	2	513.19	-1
1	34311.016	98	513.19	-1
1	34337.707	55	513.52	1
1	34341.039	15	513.27	-1
1	34341.043	85	513.27	-1
1	34344.723	100	513.06	-1
1	34346.086	60	513.05	1
1	34351.93	1	512.91	-1
1	34351.934	1	512.91	-1
1	34352.328	100	512.67	-1
1	34352.328	100	512.92	-1
1	34352.328	1	512.91	-1
1	34352.328	58	512.92	-1
1	34352.328	98	512.91	-1
1	34352.352	100	512.56	-1
1	34352.352	43	512.5	-1
1	34363.195	100	512.5	-1
1	34363.195	100	512.5	-1
1	34363.195	100	512.51	-1
1	34363.195	100	512.51	-1
1	34363.203	60	512.42	-1
1	34363.207	200	512.5	1
1	34363.207	100	512.5	1
1	34363.207	200	512.5	1
1	34363.281	100	512.49	1
1	34374.262	100	512.97	1
1	34375.277	100	512.98	1
1	34375.277	25	513	1
1	34400.48	50	513	1
1	34400.48	58	513	1
1	34402.688	100	513.24	-1
1	34402.688	100	513.24	-1
1	34402.688	100	513.24	-1
1	34402.688	100	513.24	-1
1	34402.688	100	513.24	-1
1	34402.727	100	513.24	-1
1	34403.645	50	513.44	1
